epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3937.67,1.10131,0.7623,0.0126,0.86863,0.83149,0.8891,0.66496,1.01543,0.57397,0.01439,0.00098525,0.00098525,0.00098525
43,4030.91,1.0929,0.76463,0.0125,0.85696,0.77787,0.87112,0.6445,1.07685,0.65863,0.01498,0.0009605,0.0009605,0.0009605
44,4124.38,1.08268,0.76201,0.01217,0.88608,0.81646,0.8803,0.64297,1.06981,0.58503,0.01515,0.00093575,0.00093575,0.00093575
45,4217.28,1.09163,0.74159,0.01223,0.86486,0.81319,0.88456,0.64977,1.03065,0.58817,0.0142,0.000911,0.000911,0.000911
46,4310.44,1.10155,0.7426,0.01235,0.87612,0.82597,0.88818,0.64083,1.07166,0.60963,0.01461,0.00088625,0.00088625,0.00088625
47,4403.35,1.10037,0.75695,0.0124,0.9039,0.80551,0.89618,0.66124,1.0461,0.60654,0.01414,0.0008615,0.0008615,0.0008615
48,4496.26,1.04925,0.69181,0.01181,0.86856,0.84807,0.89674,0.66066,1.03219,0.55811,0.01417,0.00083675,0.00083675,0.00083675
49,4589.08,1.06431,0.71483,0.01196,0.8572,0.83978,0.88467,0.64987,1.04757,0.60498,0.01453,0.000812,0.000812,0.000812
50,4682.02,1.03549,0.70615,0.01234,0.88585,0.81463,0.89432,0.65544,1.05419,0.59254,0.01391,0.00078725,0.00078725,0.00078725
51,4774.91,1.02522,0.6886,0.0112,0.88002,0.81044,0.88973,0.65606,1.00362,0.59548,0.01386,0.0007625,0.0007625,0.0007625
52,4867.98,1.02678,0.69595,0.01142,0.85076,0.83425,0.89037,0.65655,1.00333,0.5738,0.01396,0.00073775,0.00073775,0.00073775
53,4961.11,1.02592,0.67558,0.01145,0.92,0.82873,0.89262,0.6625,1.01897,0.57101,0.01405,0.000713,0.000713,0.000713
54,5054.22,1.00857,0.68012,0.01116,0.86736,0.81292,0.89559,0.66396,1.00951,0.58535,0.01375,0.00068825,0.00068825,0.00068825
55,5147.16,1.02906,0.69396,0.01125,0.90451,0.81114,0.88645,0.65031,1.04432,0.58772,0.01423,0.0006635,0.0006635,0.0006635
56,5240.05,1.0124,0.67338,0.01127,0.89164,0.83702,0.89941,0.666,1.03269,0.57113,0.01345,0.00063875,0.00063875,0.00063875
57,5333.14,0.99928,0.64835,0.01111,0.89534,0.80347,0.88969,0.66162,1.02364,0.58557,0.01356,0.000614,0.000614,0.000614
58,5426.08,0.99405,0.64864,0.01051,0.90465,0.83872,0.90741,0.66234,0.99045,0.54238,0.01358,0.00058925,0.00058925,0.00058925
59,5519.07,0.96456,0.62541,0.0108,0.88366,0.83702,0.90663,0.67359,0.99803,0.5643,0.01346,0.0005645,0.0005645,0.0005645
60,5612.07,0.98987,0.63636,0.01089,0.91355,0.8466,0.90604,0.66847,0.99806,0.54624,0.01362,0.00053975,0.00053975,0.00053975
61,5705.05,0.97422,0.62265,0.01083,0.87521,0.85246,0.90214,0.65949,1.02479,0.56452,0.01376,0.000515,0.000515,0.000515
62,5798.01,0.96452,0.63502,0.0109,0.91062,0.8232,0.89421,0.66908,1.0019,0.58196,0.01333,0.00049025,0.00049025,0.00049025
63,5891.2,0.97861,0.61261,0.01046,0.88823,0.8342,0.89991,0.66657,0.96805,0.59969,0.01299,0.0004655,0.0004655,0.0004655
64,5983.97,0.96332,0.61539,0.01063,0.90078,0.82762,0.90208,0.67037,1.02837,0.5405,0.01388,0.00044075,0.00044075,0.00044075
65,6076.89,0.96948,0.62152,0.01074,0.86841,0.86188,0.89943,0.66918,1.01694,0.53613,0.0139,0.000416,0.000416,0.000416
66,6169.63,0.97433,0.62696,0.01064,0.8893,0.8232,0.89268,0.67201,0.97577,0.55008,0.013,0.00039125,0.00039125,0.00039125
67,6263.04,0.94571,0.6038,0.01022,0.87243,0.83425,0.89052,0.67036,0.98026,0.58457,0.01291,0.0003665,0.0003665,0.0003665
68,6355.81,0.96106,0.60807,0.01056,0.90397,0.83215,0.8975,0.67031,0.99059,0.54642,0.01347,0.00034175,0.00034175,0.00034175
69,6448.8,0.96907,0.63101,0.0107,0.89285,0.85165,0.90868,0.67471,1.01261,0.53552,0.01364,0.000317,0.000317,0.000317
70,6541.69,0.94807,0.5956,0.01072,0.88575,0.8352,0.89808,0.66137,0.99836,0.54455,0.0134,0.00029225,0.00029225,0.00029225
71,6633.71,0.90343,0.5218,0.01252,0.90265,0.87084,0.90556,0.67294,1.00018,0.52946,0.01287,0.0002675,0.0002675,0.0002675
72,6725.24,0.90138,0.51791,0.0124,0.91748,0.82931,0.90224,0.66025,0.99938,0.52556,0.01291,0.00024275,0.00024275,0.00024275
73,6817.19,0.89233,0.51076,0.01192,0.91294,0.84002,0.90656,0.67096,0.99255,0.53444,0.01281,0.000218,0.000218,0.000218
74,6908.52,0.89811,0.51942,0.01214,0.93534,0.83149,0.90652,0.66852,1.00569,0.52149,0.01314,0.00019325,0.00019325,0.00019325
75,7000.17,0.88359,0.48931,0.01155,0.94262,0.8232,0.90651,0.67821,0.98685,0.53733,0.01269,0.0001685,0.0001685,0.0001685
76,7092.1,0.87139,0.4923,0.01175,0.89788,0.84254,0.90883,0.6783,0.99381,0.5176,0.01268,0.00014375,0.00014375,0.00014375
77,7184.24,0.88625,0.48383,0.01159,0.94408,0.82873,0.91459,0.69175,0.98329,0.5062,0.01262,0.000119,0.000119,0.000119
78,7275.98,0.86529,0.47517,0.01121,0.91352,0.83978,0.91358,0.68922,0.98651,0.51327,0.01263,9.425e-05,9.425e-05,9.425e-05
79,7367.63,0.86189,0.47759,0.01136,0.95234,0.83978,0.91484,0.69063,0.98995,0.51252,0.01274,6.95e-05,6.95e-05,6.95e-05
80,7459.02,0.84045,0.46932,0.01084,0.95311,0.84227,0.91476,0.69338,0.98258,0.50289,0.01262,4.475e-05,4.475e-05,4.475e-05
